family,name,alpha,resample,f1_macro,accuracy,recall_negative,C,class_weight,n_estimators,learning_rate,max_depth,selected
logistic_regression,lr_C2.0_balanced,,,0.8881598856059725,0.9189043209876543,0.8808129521184981,2.0,balanced,,,,True
logistic_regression,lr_C1.0_balanced,,,0.8876319290872554,0.9179783950617284,0.8890802617981398,1.0,balanced,,,,False
logistic_regression,lr_C5.0_balanced,,,0.8867066144925015,0.9189043209876543,0.861178091629349,5.0,balanced,,,,False
logistic_regression,lr_C0.5_balanced,,,0.8832983864850361,0.9142746913580246,0.8908026179813986,0.5,balanced,,,,False
logistic_regression,lr_C5.0_none,,,0.8769247884278855,0.9189043209876543,0.7475025835342749,5.0,none,,,,False
logistic_regression,lr_C2.0_none,,,0.8735606244855197,0.9175925925925926,0.7309679641749914,2.0,none,,,,False
logistic_regression,lr_C1.0_none,,,0.8624361108555081,0.9118827160493828,0.6972097829831209,1.0,none,,,,False
logistic_regression,lr_C0.1_balanced,,,0.8607729452995042,0.8960648148148148,0.8763348260420255,0.1,balanced,,,,False
logistic_regression,lr_C0.5_none,,,0.8484851011258948,0.904783950617284,0.6589734757147778,0.5,none,,,,False
naive_bayes,nb_alpha0.5_undersample,0.5,undersample,0.841703364931377,0.8770833333333333,0.9025146400275577,,,,,,False
naive_bayes,nb_alpha1.0_undersample,1.0,undersample,0.8403918702087969,0.8752314814814814,0.9107819497071995,,,,,,False
naive_bayes,nb_alpha0.1_undersample,0.1,undersample,0.8372541749527604,0.8738425925925926,0.8921805029280055,,,,,,False
naive_bayes,nb_alpha2.0_undersample,2.0,undersample,0.8352761903830868,0.8699845679012346,0.9173269032035825,,,,,,False
naive_bayes,nb_alpha0.1_none,0.1,none,0.8291484428109799,0.8938271604938272,0.6217705821563899,,,,,,False
naive_bayes,nb_alpha0.5_none,0.5,none,0.8166926536482573,0.8885802469135803,0.5856011023079573,,,,,,False
gradient_boosting,gb_n80_lr0.1_d3_balanced,,,0.8154914671515536,0.8689043209876544,0.7385463313813296,,balanced,80.0,0.1,3.0,False
gradient_boosting,gb_n80_lr0.1_d2_balanced,,,0.804476301145314,0.860108024691358,0.7292456079917327,,balanced,80.0,0.1,2.0,False
gradient_boosting,gb_n80_lr0.05_d3_balanced,,,0.8009236815135617,0.8587191358024692,0.7140888735790561,,balanced,80.0,0.05,3.0,False
gradient_boosting,gb_n40_lr0.1_d3_balanced,,,0.8009076987028114,0.8588734567901235,0.7127109886324492,,balanced,40.0,0.1,3.0,False
naive_bayes,nb_alpha1.0_none,1.0,none,0.7936288387083464,0.8793981481481481,0.5239407509472959,,,,,,False
gradient_boosting,gb_n80_lr0.05_d2_balanced,,,0.7789456614904675,0.846604938271605,0.654839820874957,,balanced,80.0,0.05,2.0,False
gradient_boosting,gb_n40_lr0.1_d2_balanced,,,0.7779429703328128,0.8458333333333333,0.6538064071650017,,balanced,40.0,0.1,2.0,False
gradient_boosting,gb_n40_lr0.05_d3_balanced,,,0.7762304401431844,0.8458333333333333,0.6431277988287978,,balanced,40.0,0.05,3.0,False
gradient_boosting,gb_n40_lr0.05_d2_balanced,,,0.7650663248980348,0.8371141975308642,0.6324491904925938,,balanced,40.0,0.05,2.0,False
gradient_boosting,gb_n80_lr0.1_d3_none,,,0.7592996225858143,0.8608024691358025,0.4719255942128832,,none,80.0,0.1,3.0,False
logistic_regression,lr_C0.1_none,,,0.75517533885224,0.8637345679012346,0.44161212538753014,0.1,none,,,,False
gradient_boosting,gb_n80_lr0.1_d2_none,,,0.7394359333391454,0.8540123456790123,0.42611091973820187,,none,80.0,0.1,2.0,False
gradient_boosting,gb_n80_lr0.05_d3_none,,,0.7381768229862251,0.8529320987654321,0.42611091973820187,,none,80.0,0.05,3.0,False
gradient_boosting,gb_n40_lr0.1_d3_none,,,0.7380138132335872,0.8525462962962963,0.42714433344815705,,none,40.0,0.1,3.0,False
naive_bayes,nb_alpha2.0_none,2.0,none,0.7363509429502757,0.8581018518518518,0.3985532208060627,,,,,,False
gradient_boosting,gb_n40_lr0.1_d2_none,,,0.7077367442669611,0.8428240740740741,0.363761625904237,,none,40.0,0.1,2.0,False
gradient_boosting,gb_n80_lr0.05_d2_none,,,0.7050046467384097,0.8421296296296297,0.3579056148811574,,none,80.0,0.05,2.0,False
gradient_boosting,gb_n40_lr0.05_d3_none,,,0.7014685953388049,0.839891975308642,0.3548053737512918,,none,40.0,0.05,3.0,False
gradient_boosting,gb_n40_lr0.05_d2_none,,,0.607209140470943,0.8141975308641975,0.19703754736479503,,none,40.0,0.05,2.0,False
