family,name,alpha,resample,f1_macro,accuracy,recall_neutral,C,class_weight,n_estimators,learning_rate,max_depth,selected
logistic_regression,lr_C0.5_balanced,,,0.652617130816071,0.8108166035579053,0.4725168756027001,0.5,balanced,,,,True
logistic_regression,lr_C1.0_balanced,,,0.6513728147021759,0.8128170322211903,0.4493731918997107,1.0,balanced,,,,False
logistic_regression,lr_C2.0_balanced,,,0.6463099361834482,0.812674144459527,0.4185149469623915,2.0,balanced,,,,False
logistic_regression,lr_C0.1_balanced,,,0.6414048126741512,0.79324140887333,0.5081967213114754,0.1,balanced,,,,False
logistic_regression,lr_C5.0_balanced,,,0.6399124007580071,0.8117453740087162,0.3866923818707811,5.0,balanced,,,,False
logistic_regression,lr_C5.0_none,,,0.6282757768110722,0.8453239979995714,0.18032786885245902,5.0,none,,,,False
logistic_regression,lr_C2.0_none,,,0.6230143746975144,0.8506108451811102,0.14368370298939248,2.0,none,,,,False
logistic_regression,lr_C1.0_none,,,0.6167974388590388,0.8506108451811102,0.1253616200578592,1.0,none,,,,False
naive_bayes,nb_alpha1.0_undersample,1.0,undersample,0.6004267021663613,0.7344430949489176,0.5515911282545806,,,,,,False
naive_bayes,nb_alpha2.0_undersample,2.0,undersample,0.5987725690102539,0.7314424519539902,0.5371263259402121,,,,,,False
naive_bayes,nb_alpha0.5_undersample,0.5,undersample,0.5977972159735152,0.7333714367364436,0.5573770491803278,,,,,,False
logistic_regression,lr_C0.5_none,,,0.5963409871155351,0.8460384368078874,0.08968177434908389,0.5,none,,,,False
gradient_boosting,gb_n80_lr0.1_d3_balanced,,,0.5932338436807186,0.7636636422090448,0.4088717454194793,,balanced,80.0,0.1,3.0,False
naive_bayes,nb_alpha0.1_undersample,0.1,undersample,0.5855513396346168,0.7210116453525756,0.5429122468659595,,,,,,False
gradient_boosting,gb_n80_lr0.1_d2_balanced,,,0.5815343830118102,0.7492319782810603,0.39247830279652846,,balanced,80.0,0.1,2.0,False
gradient_boosting,gb_n40_lr0.05_d3_balanced,,,0.5764629558715592,0.7693791526755733,0.30279652844744454,,balanced,40.0,0.05,3.0,False
gradient_boosting,gb_n80_lr0.05_d3_balanced,,,0.5737491515765968,0.7438736872186897,0.38476374156219867,,balanced,80.0,0.05,3.0,False
gradient_boosting,gb_n40_lr0.1_d3_balanced,,,0.5735744068852093,0.7418732585554048,0.39537126325940214,,balanced,40.0,0.1,3.0,False
gradient_boosting,gb_n40_lr0.05_d2_balanced,,,0.5693636298876872,0.7691648210330785,0.2719382835101254,,balanced,40.0,0.05,2.0,False
gradient_boosting,gb_n80_lr0.05_d2_balanced,,,0.5692629980853879,0.745445452596985,0.36451301832208294,,balanced,80.0,0.05,2.0,False
naive_bayes,nb_alpha0.1_none,0.1,none,0.5689343040310523,0.8281060227191541,0.07618129218900675,,,,,,False
gradient_boosting,gb_n40_lr0.1_d2_balanced,,,0.5665467428094351,0.7441594627420162,0.36162005785920925,,balanced,40.0,0.1,2.0,False
naive_bayes,nb_alpha0.5_none,0.5,none,0.5413103168376093,0.8231763949417732,0.03567984570877531,,,,,,False
logistic_regression,lr_C0.1_none,,,0.5303519222136559,0.8211759662784882,0.024108003857280617,0.1,none,,,,False
gradient_boosting,gb_n80_lr0.1_d3_none,,,0.5165940120534122,0.8026005572622705,0.04532304725168756,,none,80.0,0.1,3.0,False
naive_bayes,nb_alpha1.0_none,1.0,none,0.5116596822623775,0.8141030220761591,0.008678881388621022,,,,,,False
gradient_boosting,gb_n80_lr0.1_d2_none,,,0.5001952287789231,0.7945273987282989,0.03857280617164899,,none,80.0,0.1,2.0,False
gradient_boosting,gb_n40_lr0.1_d3_none,,,0.49899014774153444,0.7940272915624776,0.03857280617164899,,none,40.0,0.1,3.0,False
gradient_boosting,gb_n80_lr0.05_d3_none,,,0.4986025461770298,0.7945988426091305,0.03567984570877531,,none,80.0,0.05,3.0,False
gradient_boosting,gb_n80_lr0.05_d2_none,,,0.48155341649800726,0.7859541330285061,0.03085824493731919,,none,80.0,0.05,2.0,False
gradient_boosting,gb_n40_lr0.1_d2_none,,,0.47750334560836133,0.7871686790026434,0.019286403085824494,,none,40.0,0.1,2.0,False
naive_bayes,nb_alpha2.0_none,2.0,none,0.47377796698777247,0.7938844038008145,0.0048216007714561235,,,,,,False
gradient_boosting,gb_n40_lr0.05_d3_none,,,0.47149330512068616,0.7810245052511252,0.03182256509161042,,none,40.0,0.05,3.0,False
gradient_boosting,gb_n40_lr0.05_d2_none,,,0.408127373429882,0.757805243980853,0.017357762777242044,,none,40.0,0.05,2.0,False
