word_positive,coef_positive,word_negative,coef_negative
love,14.585,disappointed,-7.86
great,9.024,cancel,-7.668
enjoy,8.002,disappointing,-6.275
excellent,6.413,ad,-5.631
perfect,5.653,poor,-5.506
amazing,5.525,boring,-5.189
easy,5.373,waste,-5.046
favorite,5.347,horrible,-5.042
pleased,5.251,advertisement,-4.794
awesome,5.158,receive,-4.78
highly recommend,4.38,cancel subscription,-4.752
read,4.229,disappointment,-4.625
look forward,4.2,sad,-4.514
wonderful,4.194,unfortunately,-4.313
fun,4.179,useless,-4.238
