word_positive,coef_positive,word_negative,coef_negative
love,15.213,not,-11.887
great,10.473,not worth,-9.301
not wait,9.202,disappointed,-8.795
enjoy,8.478,disappointing,-7.442
good,7.67,cancel,-7.395
favorite,7.242,not recommend,-6.779
perfect,6.989,poor,-6.74
not disappoint,6.872,horrible,-6.242
excellent,6.752,not renew,-5.972
amazing,6.653,ad,-5.914
easy,6.144,cancel subscription,-5.798
pleased,6.041,zero,-5.671
happy,6.031,boring,-5.619
never disappoint,5.593,waste,-5.586
awesome,5.429,useless,-5.56
