category,aspect,mention_count,mean_compound,pct_positive,pct_neutral,pct_negative,mention_rate
Magazine_Subscriptions,billing,14251,0.1736,0.4969,0.293,0.21,0.1993
Magazine_Subscriptions,content,45394,0.3706,0.7594,0.1535,0.087,0.6349
Magazine_Subscriptions,customer_service,3566,0.2937,0.6629,0.1183,0.2187,0.0499
Magazine_Subscriptions,delivery,5994,0.2282,0.5339,0.3238,0.1423,0.0838
Magazine_Subscriptions,packaging,924,0.2285,0.5855,0.2229,0.1916,0.0129
Magazine_Subscriptions,price,8983,0.3757,0.7431,0.1276,0.1294,0.1256
Magazine_Subscriptions,quality,3483,0.2918,0.6239,0.2452,0.1309,0.0487
Subscription_Boxes,billing,3948,0.1845,0.5261,0.1963,0.2776,0.2435
Subscription_Boxes,content,4683,0.3409,0.7104,0.155,0.1345,0.2888
Subscription_Boxes,customer_service,833,0.2814,0.6423,0.1537,0.2041,0.0514
Subscription_Boxes,delivery,2042,0.2346,0.5695,0.236,0.1944,0.1259
Subscription_Boxes,packaging,7541,0.3108,0.6986,0.1536,0.1479,0.465
Subscription_Boxes,price,3912,0.3016,0.6835,0.1158,0.2007,0.2412
Subscription_Boxes,quality,2611,0.3057,0.6473,0.2026,0.1501,0.161
