category,aspect,mention_count,mean_compound,pct_positive,pct_neutral,pct_negative,mention_rate
Magazine_Subscriptions,advertising,5515,0.148,0.445,0.3768,0.1782,0.0771
Magazine_Subscriptions,billing,6056,0.0509,0.3666,0.2999,0.3336,0.0847
Magazine_Subscriptions,content,27518,0.3297,0.6913,0.2058,0.103,0.3849
Magazine_Subscriptions,customer_service,540,-0.0287,0.3463,0.1796,0.4741,0.0076
Magazine_Subscriptions,delivery,2881,0.1705,0.4505,0.4099,0.1395,0.0403
Magazine_Subscriptions,packaging,240,0.2599,0.6417,0.2125,0.1458,0.0034
Magazine_Subscriptions,price,7550,0.3242,0.6899,0.1531,0.157,0.1056
Magazine_Subscriptions,quality,2332,0.2753,0.6098,0.2466,0.1437,0.0326
Subscription_Boxes,advertising,201,0.118,0.4328,0.3532,0.2139,0.0124
Subscription_Boxes,billing,1511,-0.0913,0.2508,0.1807,0.5685,0.0932
Subscription_Boxes,content,6967,0.331,0.7203,0.1504,0.1293,0.4296
Subscription_Boxes,customer_service,329,0.2077,0.5927,0.1307,0.2766,0.0203
Subscription_Boxes,delivery,1465,0.2181,0.5488,0.2444,0.2068,0.0903
Subscription_Boxes,packaging,987,0.3312,0.6778,0.1641,0.1581,0.0609
Subscription_Boxes,price,2881,0.2166,0.6012,0.1486,0.2503,0.1777
Subscription_Boxes,quality,1869,0.3396,0.6907,0.1643,0.145,0.1153
