review_idx,category,aspect,sentence_compound,clause_compound,diff,affected
0,Magazine_Subscriptions,billing,0.0,0.0,0.0,False
2,Magazine_Subscriptions,content,0.8555,0.6249,-0.23060000000000003,True
5,Magazine_Subscriptions,content,0.5423,0.4404,-0.10189999999999999,True
9,Magazine_Subscriptions,advertising,-0.25,-0.25,0.0,False
9,Magazine_Subscriptions,content,0.6597,0.6597,0.0,False
9,Magazine_Subscriptions,price,0.7579,0.6124,-0.14549999999999996,True
10,Magazine_Subscriptions,content,0.0,0.0,0.0,False
11,Magazine_Subscriptions,billing,-0.2714,-0.2714,0.0,False
12,Magazine_Subscriptions,content,0.3612,0.3612,0.0,False
13,Magazine_Subscriptions,billing,0.3612,0.3612,0.0,False
13,Magazine_Subscriptions,quality,0.0,0.0,0.0,False
13,Magazine_Subscriptions,packaging,0.4754,0.4754,0.0,False
14,Magazine_Subscriptions,content,0.6486,0.6486,0.0,False
15,Magazine_Subscriptions,content,0.1909,0.1909,0.0,False
18,Magazine_Subscriptions,content,0.802,0.802,0.0,False
19,Magazine_Subscriptions,content,0.2382,0.0,-0.2382,True
20,Magazine_Subscriptions,content,0.0,0.0,0.0,False
21,Magazine_Subscriptions,price,0.0,0.0,0.0,False
22,Magazine_Subscriptions,content,-0.6072,-0.6072,0.0,False
25,Magazine_Subscriptions,content,-0.3875,-0.3875,0.0,False
27,Magazine_Subscriptions,billing,0.1406,0.0,-0.1406,True
29,Magazine_Subscriptions,content,0.35015,0.35015,0.0,False
30,Magazine_Subscriptions,content,0.3612,0.3612,0.0,False
31,Magazine_Subscriptions,advertising,-0.296,-0.296,0.0,False
31,Magazine_Subscriptions,content,0.0,0.0,0.0,False
31,Magazine_Subscriptions,quality,0.4754,0.4754,0.0,False
32,Magazine_Subscriptions,advertising,0.0,0.0,0.0,False
32,Magazine_Subscriptions,content,0.11729999999999999,0.029549999999999993,-0.08775,True
33,Magazine_Subscriptions,quality,0.09835,0.0,-0.09835,True
33,Magazine_Subscriptions,content,0.4243,0.3208,-0.10350000000000004,True
35,Magazine_Subscriptions,advertising,0.2263,0.2263,0.0,False
35,Magazine_Subscriptions,price,0.3252,0.3252,0.0,False
36,Magazine_Subscriptions,advertising,0.0,0.0,0.0,False
37,Magazine_Subscriptions,content,0.1779,0.1779,0.0,False
37,Magazine_Subscriptions,quality,0.1779,0.1779,0.0,False
37,Magazine_Subscriptions,price,0.1779,0.1779,0.0,False
38,Magazine_Subscriptions,quality,0.6369,0.6369,0.0,False
39,Magazine_Subscriptions,price,0.3291,0.0,-0.3291,True
40,Magazine_Subscriptions,quality,0.3612,0.3612,0.0,False
40,Magazine_Subscriptions,content,0.3612,0.3612,0.0,False
41,Magazine_Subscriptions,quality,-0.6369,-0.6369,0.0,False
41,Magazine_Subscriptions,content,0.3384,0.3384,0.0,False
42,Magazine_Subscriptions,content,0.0,0.0,0.0,False
44,Magazine_Subscriptions,content,0.07336666666666668,0.07336666666666668,0.0,False
45,Magazine_Subscriptions,price,0.707,0.707,0.0,False
48,Magazine_Subscriptions,advertising,0.0,0.0,0.0,False
49,Magazine_Subscriptions,billing,-0.25,-0.25,0.0,False
50,Magazine_Subscriptions,advertising,0.4574,0.4574,0.0,False
50,Magazine_Subscriptions,content,0.4574,0.4574,0.0,False
51,Magazine_Subscriptions,advertising,0.6369,0.6369,0.0,False
51,Magazine_Subscriptions,content,0.6369,0.6369,0.0,False
53,Magazine_Subscriptions,billing,0.0,0.0,0.0,False
57,Magazine_Subscriptions,content,0.8074,0.8074,0.0,False
58,Magazine_Subscriptions,quality,0.6369,0.6369,0.0,False
58,Magazine_Subscriptions,content,0.6369,0.6369,0.0,False
60,Magazine_Subscriptions,quality,0.802,0.802,0.0,False
60,Magazine_Subscriptions,content,0.2216,0.14003333333333332,-0.08156666666666668,True
61,Magazine_Subscriptions,content,0.0,0.0,0.0,False
62,Magazine_Subscriptions,advertising,0.2382,0.0,-0.2382,True
62,Magazine_Subscriptions,price,0.8074,0.8074,0.0,False
64,Magazine_Subscriptions,billing,0.0,0.0,0.0,False
64,Magazine_Subscriptions,content,0.4404,0.4404,0.0,False
64,Magazine_Subscriptions,delivery,-0.8126,0.0,0.8126,True
66,Magazine_Subscriptions,content,0.8555,0.8555,0.0,False
67,Magazine_Subscriptions,delivery,0.6124,0.6124,0.0,False
67,Magazine_Subscriptions,content,0.6124,0.6124,0.0,False
68,Magazine_Subscriptions,content,0.742,0.742,0.0,False
70,Magazine_Subscriptions,content,0.8225,0.8225,0.0,False
71,Magazine_Subscriptions,content,0.4404,0.4404,0.0,False
74,Magazine_Subscriptions,customer_service,0.0,0.0,0.0,False
74,Magazine_Subscriptions,delivery,0.0,0.0,0.0,False
74,Magazine_Subscriptions,price,0.0,0.0,0.0,False
74,Magazine_Subscriptions,quality,0.0,0.0,0.0,False
76,Magazine_Subscriptions,content,0.5343,0.4576,-0.07669999999999999,True
77,Magazine_Subscriptions,advertising,0.3291,0.0,-0.3291,True
77,Magazine_Subscriptions,content,0.58465,0.4201,-0.16455000000000003,True
78,Magazine_Subscriptions,price,0.8402,0.8402,0.0,False
79,Magazine_Subscriptions,advertising,0.0,0.0,0.0,False
79,Magazine_Subscriptions,price,-0.0446,-0.0446,0.0,False
80,Magazine_Subscriptions,advertising,-0.4199,-0.4199,0.0,False
83,Magazine_Subscriptions,content,0.7906,0.7906,0.0,False
84,Magazine_Subscriptions,content,0.8126,0.8126,0.0,False
86,Magazine_Subscriptions,content,-0.5423,-0.5423,0.0,False
89,Magazine_Subscriptions,content,0.0,0.0,0.0,False
91,Magazine_Subscriptions,content,0.5574,0.5574,0.0,False
92,Magazine_Subscriptions,advertising,0.06177500000000001,-0.04832499999999999,-0.1101,True
92,Magazine_Subscriptions,content,0.0834,0.0834,0.0,False
96,Magazine_Subscriptions,delivery,-0.5106,-0.5106,0.0,False
98,Magazine_Subscriptions,content,0.6369,0.6369,0.0,False
99,Magazine_Subscriptions,content,0.6093500000000001,0.6093500000000001,0.0,False
100,Magazine_Subscriptions,content,0.7351,0.7351,0.0,False
105,Magazine_Subscriptions,content,0.4019,0.4019,0.0,False
105,Magazine_Subscriptions,price,0.4019,0.4019,0.0,False
107,Magazine_Subscriptions,content,0.0,0.0,0.0,False
108,Magazine_Subscriptions,advertising,0.4767,0.4767,0.0,False
108,Magazine_Subscriptions,content,0.4767,0.4767,0.0,False
109,Magazine_Subscriptions,price,0.5719,0.5719,0.0,False
112,Magazine_Subscriptions,billing,0.6369,0.6369,0.0,False
112,Magazine_Subscriptions,content,0.31845,0.31845,0.0,False
113,Magazine_Subscriptions,content,-0.2573,-0.23213333333333333,0.025166666666666643,True
114,Magazine_Subscriptions,content,0.0,0.0,0.0,False
117,Magazine_Subscriptions,content,0.1892,0.1892,0.0,False
118,Magazine_Subscriptions,content,0.0,0.0,0.0,False
119,Magazine_Subscriptions,content,0.8777,0.8777,0.0,False
120,Magazine_Subscriptions,delivery,0.0,0.0,0.0,False
120,Magazine_Subscriptions,content,0.0,0.0,0.0,False
122,Magazine_Subscriptions,delivery,-0.3612,-0.25,0.11120000000000002,True
122,Magazine_Subscriptions,content,0.5411,0.5411,0.0,False
123,Magazine_Subscriptions,billing,-0.2755,-0.2755,0.0,False
126,Magazine_Subscriptions,delivery,0.0,0.0,0.0,False
127,Magazine_Subscriptions,content,0.0,0.0,0.0,False
128,Magazine_Subscriptions,billing,0.0,0.0,0.0,False
128,Magazine_Subscriptions,quality,0.0,0.0,0.0,False
128,Magazine_Subscriptions,price,0.0,0.0,0.0,False
128,Magazine_Subscriptions,content,0.1147,0.1147,0.0,False
129,Magazine_Subscriptions,content,-0.25,-0.25,0.0,False
130,Magazine_Subscriptions,content,0.0,0.0,0.0,False
134,Magazine_Subscriptions,content,0.5023,0.1806,-0.3217,True
135,Magazine_Subscriptions,billing,-0.19110000000000005,-0.19110000000000005,0.0,False
135,Magazine_Subscriptions,content,0.8568666666666668,0.8568666666666668,0.0,False
135,Magazine_Subscriptions,price,0.24925,0.24925,0.0,False
136,Magazine_Subscriptions,advertising,0.1027,0.1027,0.0,False
136,Magazine_Subscriptions,billing,0.0,0.0,0.0,False
141,Magazine_Subscriptions,billing,-0.4215,-0.4215,0.0,False
141,Magazine_Subscriptions,customer_service,-0.2997,-0.2997,0.0,False
141,Magazine_Subscriptions,quality,0.5023,0.3612,-0.14109999999999995,True
141,Magazine_Subscriptions,advertising,0.5023,0.3612,-0.14109999999999995,True
142,Magazine_Subscriptions,price,0.2023,0.2023,0.0,False
146,Magazine_Subscriptions,advertising,0.7783,0.7783,0.0,False
146,Magazine_Subscriptions,price,0.6361,0.5023,-0.13380000000000003,True
149,Magazine_Subscriptions,content,0.27175,0.28595,0.01419999999999999,True
150,Magazine_Subscriptions,price,0.9253,0.8519,-0.07340000000000002,True
150,Magazine_Subscriptions,content,0.46265,0.42595,-0.03670000000000001,True
151,Magazine_Subscriptions,advertising,0.8401,0.8401,0.0,False
151,Magazine_Subscriptions,billing,0.8401,0.8401,0.0,False
151,Magazine_Subscriptions,price,0.8401,0.8401,0.0,False
153,Magazine_Subscriptions,content,0.872,0.872,0.0,False
154,Magazine_Subscriptions,content,0.37126666666666663,0.37126666666666663,0.0,False
