noun_phrase,count,matched_aspects
this magazine,136,
the magazine,77,
articles,32,content
amazon,31,
my subscription,19,
great magazine,18,
time,15,
the articles,14,content
a subscription,14,
years,13,
a magazine,13,
the subscription,13,
ads,12,advertising
recipes,12,content
ideas,12,
each issue,10,content
my daughter,10,
the price,10,price
the recipes,9,content
the world,9,
the new yorker,9,
myself,8,
science,8,
magazines,8,
anyone,8,
my first issue,8,content
this subscription,7,
the stories,7,content
christmas,7,
money,7,price
