noun_phrase,count,matched_aspects
the box,74,
this box,35,
the toys,30,content
the subscription,25,
the price,21,price
the items,20,content
amazon,19,
a box,19,
this subscription,19,
the treats,17,content
the money,16,price
my subscription,16,
things,14,
christmas,13,
treats,13,content
the boxes,13,
my son,13,
my husband,12,
toys,12,content
a gift,11,
my first box,11,
my dog,11,
someone,11,
this subscription box,10,
the products,10,content
allure,10,
the next box,10,
my cat,10,
my cats,9,
these boxes,9,
